# 우편 지역코드 seed — `make discover` 로 생성. 명세서 지역코드표로 교체·보완 가능
code,region,subregion,is_center,total_count
100,서울,중구,false,85
110,서울,종로구,false,87
120,서울,서대문구,false,68
121,서울마포구,마포대로,false,72
122,서울,은평구,false,77
130,서울,동대문구,false,59
131,서울,중랑구,false,69
132,서울,도봉구,false,89
134,서울,강동구,false,75
135,서울,강남구,false,115
136,서울,성북구,false,70
137,서울,서초구,false,85
138,서울,송파구,false,110
139,서울,노원구,false,78
140,서울,용산구,false,74
143,서울,광진구,false,104
150,서울,영등포구,false,112
151,서울,관악구,false,59
154,서울구로구,금오로,false,127
156,서울,동작구,false,60
157,서울,강서구,false,101
158,서울,양천구,false,68
200,강원특별자치도,춘천시,false,106
209,강원특별자치도,화천군,false,22
210,강원특별자치도,강릉시,false,76
215,강원특별자치도,양양군,false,19
217,강원특별자치도,속초시,false,38
220,강원특별자치도,원주시,false,115
225,강원특별자치도,횡성군,false,41
230,강원특별자치도,영월군,false,36
232,강원특별자치도,평창군,false,24
233,강원특별자치도,정선군,false,46
235,강원특별자치도,태백시,false,30
240,강원특별자치도,동해시,false,33
245,강원특별자치도,삼척시,false,56
250,강원특별자치도,홍천군,false,46
252,강원특별자치도,인제군,false,20
255,강원특별자치도,양구군,false,15
269,강원특별자치도,철원군,false,23
300,대전,동구,false,76
301,대전,중구,false,90
302,대전,서구,false,120
305,대전,유성구,false,84
306,대전,대덕구,false,79
312,충남,금산군,false,28
314,충남,공주시,false,53
320,충남,논산시,false,77
323,충남,부여군,false,56
325,충남,서천군,false,34
330,충남,천안시,false,72
331,충남,천안시,false,82
336,충남,아산시,false,92
339,세종특별자치시,시청대로,false,86
340,충남,예산군,false,47
343,충남,당진시,false,47
345,충남,청양군,false,27
350,충남,홍성군,false,60
355,충남,보령시,false,52
356,충남,서산시,false,58
357,충남,태안군,false,32
360,충북,청주시,false,90
361,충북,청주시,false,130
365,충북,진천군,false,32
367,충북,괴산군,false,50
369,충북,음성군,false,49
370,충북,영동군,false,45
373,충북,옥천군,false,27
376,충북,보은군,false,25
380,충북,충주시,false,100
390,충북,제천시,false,65
395,충북,단양군,false,25
400,인천,연수구,false,140
403,인천,부평구,false,84
404,인천,서해구,false,69
405,인천,남동구,false,55
407,인천,계양구,false,63
409,인천,옹진군,false,9
411,경기,고양시,false,96
412,경기,고양시,false,81
413,경기,파주시,false,79
415,경기,김포시,false,67
417,인천,강화군,false,43
420,경기,부천시,false,81
423,경기,광명시,false,53
425,경기,안산시,false,100
429,경기,시흥시,false,113
431,경기,안양시,false,121
435,경기,군포시,false,74
440,경기,수원시,false,86
441,경기,수원시,false,65
442,경기,수원시,false,77
445,경기,화성시,false,99
446,경기,화성시,false,48
447,경기,오산시,false,44
448,경기,용인시,false,95
449,경기,용인시,false,91
450,경기,평택시,false,105
456,경기,안성시,false,66
461,경기,성남시,false,79
463,경기,성남시,false,137
464,경기,광주시,false,54
465,경기,하남시,false,51
467,경기,이천시,false,80
469,경기,여주시,false,33
471,경기,구리시,false,34
472,경기,남양주시,false,104
476,경기,양평군,false,51
477,경기,가평군,false,18
480,경기,의정부시,false,50
483,경기,동두천시,false,19
486,경기,연천군,false,21
487,경기,포천시,false,59
488,경기,양주시,false,79
500,전남광주통합특별시,북구,false,117
501,전남광주통합특별시,동구,false,129
502,전남광주통합특별시,서구,false,111
506,전남광주통합특별시,광산구,false,109
513,전남광주통합특별시,영광군,false,30
515,전남광주통합특별시,장성군,false,32
516,전남광주통합특별시,곡성군,false,26
517,전남광주통합특별시,담양군,false,39
519,전남광주통합특별시,화순군,false,31
520,전남광주통합특별시,나주시,false,74
525,전남광주통합특별시,함평군,false,23
526,전남광주통합특별시,영암군,false,30
527,전남광주통합특별시,강진군,false,30
529,전남광주통합특별시,장흥군,false,30
530,전남광주통합특별시,목포시,false,114
534,전남광주통합특별시,무안군,false,32
536,전남광주통합특별시,해남군,false,38
537,전남광주통합특별시,완도군,false,42
539,전남광주통합특별시,진도군,false,19
540,전남광주통합특별시,순천시,false,88
542,전남광주통합특별시,구례군,false,23
545,전남광주통합특별시,광양시,false,73
546,전남광주통합특별시,보성군,false,51
